# Min Max
-3.081057493056952953e+05 1.231189598391223907e+10
2.506881837956772745e+07 5.266172474568503418e+11
1.488471358706708997e+06 8.643863492988502502e+10
5.281749199086315930e+05 6.295478821952579498e+10
-2.761194437647238374e+03 3.649726103541581726e+10
-1.314208839203435928e+05 2.809152465484056091e+10
-7.024312487686797976e+04 2.126219457016991425e+10
-1.062484028097316623e+05 1.855482514870916748e+10
-2.921195159167945385e+05 1.573634042029174423e+10
-4.119299972526431084e+05 1.304450944186652374e+10
-2.768258294000476599e+05 1.180579751807234192e+10
-2.967156601551994681e+05 1.076004180927245712e+10
-1.090667591188341379e+06 9.930527836196540833e+09
2.073146085188111290e+06 6.036199734613674164e+10
2.039512661329343915e+06 4.520829186682273865e+10
2.441286695127416402e+06 6.403035683020487976e+10
1.824472894397493452e+06 4.521687067038490295e+10
1.125828806683238596e+06 3.253107555669532394e+10
3.916016517915390432e+05 2.413148141546512604e+10
2.729643004126209766e+06 7.000474474971606445e+10
1.852283812615837902e+06 5.071585239712996674e+10
9.789488675756771117e+05 3.331013532535302353e+10
5.313205062672141939e+05 2.567570864836322021e+10
3.003884668571203947e+05 2.039170729679513550e+10
-7.310078707629442215e+04 1.780922260844839096e+10
2.719775849289435893e+06 8.846045153237948608e+10
1.934350781263101846e+06 5.366732929637969971e+10
7.379123288002554327e+05 3.784065700095721436e+10
3.262722897139079869e+05 2.642813611858670044e+10
2.461274028917327523e+05 2.187673239572136688e+10
1.707449501397106797e+05 1.796288151493424988e+10
-6.747166945449449122e+04 1.521045320969021606e+10
-1.892768180243987590e+05 1.316532348315016556e+10
2.156557245231632143e+06 1.073885046999435272e+11
2.344947698427736759e+06 7.656642713467526245e+10
1.188598581041583791e+06 4.262078200007923889e+10
4.561895867142193019e+05 3.161963714230796432e+10
2.701148602621294558e+05 2.270634262069089890e+10
3.617494929823465645e+04 1.937139648311132431e+10
2.881952152393385768e+04 1.635819071121018219e+10
9.530786313749849796e+02 1.331310566274136353e+10
3.219664855301380157e+01 1.227540641421575546e+10
-2.609048652803339064e+05 1.168524915577269363e+10
-5.539042886965584755e+07 3.985544744954415283e+11
2.764901656042441726e+06 8.851776094661102295e+10
1.185758133778510615e+06 6.190365583125618744e+10
4.946285792747624218e+05 3.578202415445655823e+10
3.097666278817001730e+05 2.678179531116170883e+10
1.328474709342680871e+05 1.971096572809117508e+10
6.307615761752426624e+04 1.749507704864846420e+10
-9.536973917173221707e+03 1.488731318970529938e+10
-1.017073634357806295e+05 1.242324718100314713e+10
-9.925026997147500515e+04 1.121805000025969696e+10
-1.848736477530412376e+05 1.020528700543278122e+10
-8.910140784595757723e+05 9.662533067109560013e+09
2.005530790178066492e+07 4.428420797008203125e+11
9.261472768603712320e+05 7.412885333557757568e+10
5.361191681505814195e+05 5.473681322235935974e+10
4.345219777469709516e+04 3.123142452772269440e+10
-2.831040510193854570e+05 2.442045058022103500e+10
-5.634078686211258173e+04 1.817742050037929916e+10
-2.377034608204960823e+05 1.590058477858118057e+10
-2.303611421866305172e+05 1.309835168709595490e+10
-1.419520440462395549e+06 1.113565336218820953e+10
-1.944122749544419348e+05 1.007031102298236084e+10
-3.517040614522546530e+05 9.317258629608135223e+09
-5.382159119187891483e+05 8.901093850504642487e+09
-1.486902851553305984e+06 8.302650937817119598e+09
7.045120220360528984e-02 5.304589844492071382e-01
1.519535133491392576e-02 8.615127192353422281e-02
4.748163506296529390e-01 9.238426854979356895e-01
7.802210553601400811e-01 1.223532466497704529e+00
5.666409602693843750e-01 1.040534265924706991e+00
